resourceinstanceidfrom,relationshiptype,resourceinstanceidto,dateended,notes
bc9fa589-63b7-45aa-9126-691629562551,http://www.cidoc-crm.org/cidoc-crm/P67,977461e2-7471-4592-a8a1-fa6c525fc1a1,,
713b9ad8-cd2b-4f8c-a5ea-7c47898125da,http://www.cidoc-crm.org/cidoc-crm/P67,c9f0ad2d-b447-4891-b2e7-de535d64534b,,
6186e167-0962-43bb-9fc7-9306162d6b99,http://www.cidoc-crm.org/cidoc-crm/P67,f0f3b97c-26ad-4543-9c81-f1518f6e41b3,,
6186e167-0962-43bb-9fc7-9306162d6b99,http://www.cidoc-crm.org/cidoc-crm/P67,c9f0ad2d-b447-4891-b2e7-de535d64534b,,
619f8f57-5dbb-4db2-a74e-a12848c53b25,http://www.cidoc-crm.org/cidoc-crm/P67,f0f3b97c-26ad-4543-9c81-f1518f6e41b3,,
619f8f57-5dbb-4db2-a74e-a12848c53b25,http://www.cidoc-crm.org/cidoc-crm/P67,c9f0ad2d-b447-4891-b2e7-de535d64534b,,
68865ba2-f880-4ab4-8fbf-a7d56caa0fef,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
68865ba2-f880-4ab4-8fbf-a7d56caa0fef,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
6203e2eb-146e-4874-abd1-b22c4ee281c1,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
6203e2eb-146e-4874-abd1-b22c4ee281c1,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
77deee74-d00b-4193-a5d5-ed850c9b9328,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
77deee74-d00b-4193-a5d5-ed850c9b9328,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
4a634672-0bda-4186-9c22-ef9c327ded2c,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
4a634672-0bda-4186-9c22-ef9c327ded2c,http://www.cidoc-crm.org/cidoc-crm/P67,f0f25cfb-6855-4ef8-9e46-b8d02792f892,,
3f3ba957-dc4a-40f7-81d2-9256d1ce0876,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
3f3ba957-dc4a-40f7-81d2-9256d1ce0876,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
5e900c66-f08c-42b1-b7d7-fe26d4656aba,http://www.cidoc-crm.org/cidoc-crm/P67,c4f3ba13-550a-40de-a538-92f1b649fb64,,
5e900c66-f08c-42b1-b7d7-fe26d4656aba,http://www.cidoc-crm.org/cidoc-crm/P67,336425ec-8067-4005-b4a5-a35d7ac270db,,
